OMG,OMG PLC,BBG000HGT5G5
OTB,ON THE BEACH GROUP PLC,BBG00B2GTVX1
ONL,ON-LINE PLC,BBG000BMKG73
OMIP,ONE MEDIA IP GROUP PLC,BBG004FR54B9
OSB,ONESAVINGS BANK PLC,BBG006G2TRB1
ONZ,ONZIMA VENTURES PLC,BBG000BZLC27
OPRA,OPERA INVESTMENTS PLC,BBG008LGX024
OPG,OPG POWER VENTURES PLC,BBG000BKFSJ4
OPHR,OPHIR ENERGY PLC,BBG001QXTNM0
OSGA,OPSEC SECURITY GROUP -ASSD,BBG001NQ05W7
OSG,OPSEC SECURITY GROUP PLC,BBG000C3MP09
OPTI,OPTIBIOTIX HEALTH PLC,BBG00217M8N1
ORCP,ORACLE COALFIELDS PLC,BBG001ND5X69
ORCH,ORCHARD FUNDING GROUP PLC,BBG009DX8GT8
OGN,ORIGIN ENTERPRISES PLC,BBG000G157J8
OPP,ORIGO PARTNERS PLC,BBG000NYBWQ8
ORM,ORMONDE MINING PLC,BBG000BH6PM3
ORE,OROGEN GOLD PLC,BBG000DMZPF6
OMI,OROSUR MINING INC,BBG000HGJK91
OSU,ORSU METALS CORP,BBG000PVJ5J1
OTC,ORTAC RESOURCES LTD,BBG000R8HQM2
OUT,OUTSOURCERY PLC,BBG004JW3VC5
OVG,OVOCA GOLD PLC,BBG000BDWXK8
OXB,OXFORD BIOMEDICA PLC,BBG000BMB7T9
OXIG,OXFORD INSTRUMENTS PLC,BBG000BDWZZ7
OXP,OXFORD PHARMASCIENCE GROUP P,BBG000C5R2Y3
OXS,OXUS GOLD PLC,BBG000BWZ3X5
PIC,PACE PLC,BBG000H461V9
PAP,PADDY POWER PLC,BBG000N8GJR8
PCA,PALACE CAPITAL PLC,BBG000QTMX64
PAF,PAN AFRICAN RESOURCES PLC,BBG000DK30N1
PMR,PANMURE GORDON & CO PLC,BBG000BNS2Y4
PANR,PANTHEON RESOURCES PLC,BBG000NBSJ25
PNS,PANTHER SECURITIES PLC,BBG000BHR232
PML,PAPUA MINING PLC,BBG002PQVD70
PRG,PARAGON DIAMONDS LTD,BBG0018BQJQ6
PEL,PARAGON ENTERTAINMENT LTD,BBG000Q392W5
PAG,PARAGON GROUP COMPANIES PLC,BBG000BY21W2
PAA,PARALLEL MEDIA GROUP PLC,BBG000C52T44
PTY,PARITY GROUP PLC,BBG000BVT989
PKG,PARK GROUP PLC,BBG000BZZ3Q6
PMG,PARKMEAD GROUP PLC/THE,BBG000CFNTK1
PA/,PARTNERSHIP ASSURANCE GROUP,BBG004K3Z414
PGD,PATAGONIA GOLD PLC,BBG000PP68S2
PRS,PATERNOSTER RESOURCES PLC,BBG000BFCX16
PFP,PATHFINDER MINERALS PLC,BBG000BRNG15
CAKE,PATISSERIE HOLDINGS PLC,BBG006H0Y946
PAY,PAYPOINT PLC,BBG000KK7JV9
PAYS,PAYSAFE GROUP PLC,BBG000M2VPP3
PCGE,PCG ENTERTAINMENT PLC,BBG007FL9WF5
PSON,PEARSON PLC,BBG000BDY8C0
PHO,PEEL HOTELS PLC,BBG000BCCCH2
PTV,PEERTV PLC,BBG0017T0RT5
PDG,PENDRAGON PLC,BBG000BFQYW5
PNA,PENNA CONSULTING PLC,BBG000BF3P77
PEN,PENNANT INTL GROUP PLC,BBG000C1R4T4
PNN,PENNON GROUP PLC,BBG000BZT2X7
TPOP,PEOPLES OPERATOR HOLDINGS LT,BBG007B01YW0
IL0A,PERMANENT TSB GROUP HOLDINGS,BBG000DJ30N4
PSN,PERSIMMON PLC,BBG000BDY6P0
PGH,PERSONAL GROUP HOLDINGS PLC,BBG000DRM901
PEG,PETARDS GROUP PLC,BBG000BQSLY5
PDL,PETRA DIAMONDS LTD,BBG000BGDZL6
PET,PETREL RESOURCES PLC,BBG000F5DMG1
MATD,PETRO MATAD LTD,BBG000TGGHV3
PCI,PETROCELTIC INTERNATIONAL,BBG000BF93L4
PFC,PETROFAC LTD,BBG000K2DLR2
PTR,PETRONEFT RESOURCES PLC,BBG000KS3KN2
POG,PETROPAVLOVSK PLC,BBG000MTK1T5
PETS,PETS AT HOME GROUP PLC,BBG0060MBRK3
PFZ,PFIZER INC,BBG000NP0CL8
PHNX,PHOENIX GROUP HOLDINGS,BBG000W3MPV3
PHRM,PHORM CORP LTD,BBG000RC6WG9
PHTM,PHOTO-ME INTERNATIONAL PLC,BBG000BDXDC0
PSL,PHOTONSTAR LED GROUP PLC,BBG000Q4XJF8
PHSC,PHSC PLC,BBG000QX8JK6
PYC,PHYSIOMICS PLC,BBG000BM4BW4
1091167D,PICKLIVE HOLDINGS PLC,BBG007GCDZ99
PCTZ,PICTON ZDP LTD,BBG003GXJVC1
PWS,PINEWOOD GROUP PLC,BBG000D0ZGY3
PINN,PINNACLE TECHNOLOGY GROUP PL,BBG000QMBWN4
PIP,PIPEHAWK PLC,BBG000BBWM26
PIRI,PIRES INVESTMENTS PLC,BBG000BQG9L9
PTD,PITTARDS PLC,BBG000BDY9Z3
PHC,PLANT HEALTH CARE PLC,BBG000Q38DW2
PIM,PLANT IMPACT PLC,BBG000Q5Z4L9
PLA,PLASTICS CAPITAL PLC,BBG000DMQ5X0
PTEC,PLAYTECH PLC,BBG000N57QP0
PLAZ,PLAZA CENTERS NV,BBG000CDQ7T2
PLE,PLETHORA SOLUTIONS HOLDINGS,BBG000CWFS98
POS,PLEXUS HOLDINGS PLC,BBG000DPZX53
8282234Z,PLG POWER LTD,BBG001P9HF71
PLUS,PLUS500 LTD,BBG004V7D7S1
PPG,PLUTUS POWERGEN PLC,BBG000R1D9J3
PMEA,PME AFRICAN INFRASTRUCTURE O,BBG000RPHGK8
POLR,POLAR CAPITAL HOLDINGS PLC,BBG000QPV7K3
PLMO,POLEMOS PLC,BBG000BLL5T4
POL,POLO RESOURCES LTD,BBG000TBQ1L9
POLY,POLYMETAL INTERNATIONAL PLC,BBG0025RP8F9
PLP,POLYPIPE GROUP PLC,BBG00662XLF6
PGIL,POLYUS GOLD INTERNATIONAL LT,BBG00336F1X1
PEBI,PORT ERIN BIOPHARMA INVESTME,BBG0021B0YK2
PTCM,PORTA COMMUNICATIONS PLC,BBG000H2PW44
PMP,PORTMEIRION GROUP PLC,BBG000BD7WY3
PRV,PORVAIR PLC,BBG000BDY4V8
